source,target,total_engagement_watch_minutes
258940,2,2.12
258893,2,0.65
258904,2,49.41
259041,2,0.18
258863,2,43.72
259143,2,0.05
259841,2,0.08
259923,2,0.57
260045,2,0.43
260165,2,35.88
260176,2,32.95
260209,2,0.52
260241,2,0.07
260111,2,24.8
260907,2,2.6
260939,2,0.25
260715,2,0.07
261218,2,0.22
261392,2,0.05
261510,2,198.33
261534,2,6.32
261165,2,57.37
260126,2,73.13
261687,2,0.95
261530,2,0.58
261059,2,128.33
262092,2,41.08
262316,2,0.98
260998,2,118.6
262536,2,39.73
262190,2,79.64
262603,2,6.98
262702,2,0.93
261995,2,11.55
262763,2,1.43
261681,2,0.17
262983,2,30.21
261782,2,96.88
262962,2,14.5
263143,2,1.28
263171,2,0.92
263180,2,0.5
260702,2,0.07
263120,2,105.7
263230,2,1.67
261631,2,6.87
263358,2,3.33
263458,2,0.55
262392,2,99.49
263669,2,30.63
263685,2,20.38
263824,2,0.43
264012,2,54.61
258818,2,154.77
261239,2,65.05
264230,2,4.87
259005,2,0.66
262908,2,85.67
264782,2,33.32
263786,2,128.87
264913,2,5.75
262414,2,57.78
264936,2,0.17
261263,2,153.18
265155,2,0.52
265003,2,151.52
265258,2,0.67
265133,2,0.57
260608,2,149.72
265330,2,40.65
265462,2,30.66
260861,2,7.03
264694,2,75.03
263470,2,18.63
265589,2,6.17
265710,2,1.53
265737,2,22.67
261022,2,30.9
260768,2,0.27
263480,2,150.37
266154,2,25.03
264361,2,149.8
266267,2,0.12
266333,2,7.93
266316,2,8.4
261756,2,123.86
265628,2,1.03
266470,2,0.28
266493,2,0.12
266601,2,5.87
266447,2,38.27
266857,2,1.45
262585,2,107.32
266888,2,0.92
266931,2,0.18
266588,2,72.05
261227,2,1.97
266640,2,0.07
259402,2,0.68
267136,2,33.25
267140,2,1.45
267294,2,0.67
267313,2,0.57
261778,2,104.05
265373,2,98.29
263648,2,52.03
263639,2,186.37
267447,2,37.07
267141,2,0.57
267616,2,0.2
261785,2,252.66
259524,2,127.07
260747,2,0.07
263672,2,29.03
267496,2,96.08
267327,2,0.1
267812,2,156.18
261281,2,0.57
263479,2,5.8
265204,2,0.1
267412,2,5.73
263231,2,58.01
261766,2,284.18
268324,2,2.87
268257,2,87.16
268240,2,2.45
268454,2,0.05
260033,2,21.18
268262,2,31.96
268672,2,0.12
263693,2,66.83
261716,2,26.11
264404,2,0.57
268832,2,0.18
268870,2,9
266529,2,61.08
268516,2,72.31
267487,2,81.44
269137,2,10.15
258800,2,10.47
269283,2,2.53
262988,2,108.48
269483,2,0.38
269505,2,0.05
268817,2,146.81
270016,2,0.4
269646,2,139.06
270018,2,84.49
269757,2,50
267286,2,19
269099,2,4.92
268390,2,111.32
270150,2,0.62
270284,2,0.1
270382,2,2.42
266112,2,139.09
270563,2,8.4
268805,2,74.23
264974,2,1.13
270676,2,0.08
270521,2,46.77
269314,2,290.87
270944,2,0.33
270991,2,0.27
271005,2,42.98
260042,2,121.41
270648,2,45.73
271300,2,34.7
264146,2,106.22
271203,2,31.47
265927,2,27.07
259504,2,26.55
271456,2,0.55
268152,2,151.66
263368,2,152.05
271598,2,25.78
271670,2,2.47
271780,2,1.53
270014,2,118.19
262044,2,0.58
259767,2,145.9
272232,2,18.7
272586,2,127.8
261801,2,337.51
263683,2,131.43
270486,2,108.94
269832,2,0.05
272742,2,25.93
261593,2,123.5
270710,2,15.1
272732,2,31.2
272981,2,0.48
262821,2,41.52
262641,2,114.67
273140,2,57.24
273211,2,11.55
263706,2,52.13
273232,2,0.25
273351,2,18.38
264476,2,4.27
273509,2,0.65
268825,2,20.53
271348,2,108.94
273794,2,0.07
273979,2,4.73
273953,2,0.8
272909,2,124.33
267936,2,161.26
269204,2,115.75
274365,2,5.88
273955,2,1.62
265928,2,92.13
272472,2,100.84
258913,2,73.39
274272,2,97.02
273825,2,2.68
270931,2,1.82
274611,2,2.25
274070,2,0.25
274742,2,51.05
274564,2,197.05
274377,2,0.55
274777,2,0.5
274799,2,4.58
270117,2,63.27
274834,2,0.22
271701,2,0.17
274130,2,20.36
274739,2,0.95
274938,2,48.25
275021,2,109.57
270197,2,0.78
269769,2,0.48
272842,2,132.73
263087,2,107.03
274096,2,1.23
275141,2,0.05
259860,2,150.41
270689,2,0.38
274904,2,4.13
275738,2,39.3
264141,2,1.93
265588,2,83.12
275147,2,3.78
276135,2,144.56
276158,2,7.95
276306,2,2.68
276346,2,24.53
276231,2,16.22
275038,2,123.32
268011,2,188.77
268410,2,26.24
276929,2,6.3
276909,2,20.67
259870,2,38.07
266795,2,3.12
276355,2,1.27
265966,2,102.81
277225,2,0.05
275282,2,71.45
260173,2,243.8
276676,2,5.68
277433,2,0.35
277411,2,40.55
268926,2,109.45
271856,2,82.13
272717,2,81.95
272865,2,175.16
277698,2,26.82
272255,2,41.34
273936,2,7.5
277281,2,0.62
277827,2,30.68
274039,2,96.86
260373,2,0.35
269874,2,181.17
276829,2,26.25
278661,2,0.8
278670,2,0.23
278743,2,28.37
277864,2,0.67
262784,2,77.07
278836,2,0.07
268357,2,16.3
274448,2,43.38
278898,2,7.15
278969,2,0.35
277066,2,13.64
