student_id,course_id,minutes_watched,date_watched
258940,2,2.12,1/2/2022
258893,2,0.65,1/2/2022
258904,2,13.08,1/2/2022
259041,2,0.18,1/2/2022
258904,2,36.33,1/3/2022
258863,2,43.72,1/5/2022
259143,2,0.05,1/6/2022
259841,2,0.08,1/9/2022
259923,2,0.57,1/11/2022
260045,2,0.43,1/11/2022
260165,2,17.2,1/12/2022
260176,2,32.95,1/12/2022
260209,2,0.52,1/12/2022
260241,2,0.07,1/13/2022
260165,2,18.68,1/13/2022
260111,2,24.8,1/16/2022
260907,2,2.6,1/18/2022
260939,2,0.25,1/19/2022
260715,2,0.07,1/20/2022
261218,2,0.15,1/22/2022
261392,2,0.05,1/24/2022
261218,2,0.07,1/24/2022
261510,2,43.72,1/25/2022
261534,2,6.32,1/25/2022
261165,2,57.37,1/26/2022
261510,2,12.27,1/27/2022
260126,2,73.08,1/27/2022
261687,2,0.95,1/27/2022
261530,2,0.58,1/27/2022
261059,2,100.83,1/27/2022
261510,2,10.05,1/28/2022
261059,2,27.5,1/28/2022
261510,2,14.35,1/30/2022
262092,2,41.08,1/31/2022
262316,2,0.98,2/2/2022
261510,2,13.57,2/2/2022
260998,2,118.6,2/3/2022
262536,2,26.48,2/3/2022
262190,2,3.12,2/3/2022
262603,2,6.98,2/4/2022
262536,2,13.25,2/4/2022
262702,2,0.93,2/4/2022
261995,2,11.55,2/5/2022
262190,2,51.87,2/5/2022
262763,2,1.43,2/5/2022
261510,2,54.98,2/6/2022
262190,2,24.65,2/6/2022
260126,2,0.05,2/7/2022
261681,2,0.17,2/7/2022
262983,2,1.35,2/7/2022
261782,2,0.3,2/7/2022
262962,2,14.5,2/8/2022
262983,2,28.53,2/8/2022
263143,2,1.28,2/9/2022
263171,2,0.92,2/9/2022
263180,2,0.5,2/9/2022
262983,2,0.33,2/9/2022
260702,2,0.07,2/9/2022
263120,2,82.28,2/9/2022
261782,2,30.25,2/9/2022
263230,2,1.67,2/9/2022
263120,2,23.42,2/10/2022
261631,2,6.87,2/10/2022
261510,2,12.47,2/10/2022
263358,2,3.33,2/11/2022
261510,2,36.92,2/12/2022
263458,2,0.55,2/12/2022
262392,2,66.72,2/13/2022
263669,2,30.63,2/14/2022
263685,2,5.35,2/14/2022
262392,2,32.77,2/15/2022
263685,2,15.03,2/15/2022
261782,2,7.92,2/15/2022
263824,2,0.43,2/16/2022
264012,2,31.83,2/17/2022
264012,2,22.78,2/18/2022
258818,2,6.72,2/18/2022
261239,2,17.67,2/18/2022
264230,2,4.87,2/19/2022
259005,2,0.13,2/19/2022
259005,2,0.53,2/21/2022
262908,2,46.27,2/22/2022
261239,2,4.4,2/22/2022
258818,2,17.98,2/23/2022
262908,2,15.03,2/23/2022
264782,2,33.32,2/23/2022
263786,2,128.87,2/24/2022
264913,2,5.75,2/24/2022
262908,2,24.37,2/24/2022
262414,2,31.22,2/24/2022
264936,2,0.17,2/26/2022
261263,2,7.4,2/26/2022
265155,2,0.52,2/26/2022
265003,2,6.92,2/27/2022
265258,2,0.67,2/27/2022
265133,2,0.57,2/27/2022
260608,2,49.65,2/28/2022
265330,2,40.65,2/28/2022
261263,2,13.73,2/28/2022
260608,2,13.33,3/1/2022
265462,2,23.38,3/1/2022
260861,2,7.03,3/1/2022
261263,2,27.83,3/1/2022
264694,2,53,3/2/2022
263470,2,18.63,3/2/2022
265462,2,7.28,3/2/2022
260608,2,15.97,3/3/2022
265589,2,6.17,3/3/2022
258818,2,7.1,3/3/2022
265710,2,1.53,3/3/2022
265737,2,22.67,3/3/2022
261022,2,16,3/3/2022
261263,2,70.57,3/4/2022
258818,2,12.32,3/4/2022
264694,2,22.03,3/4/2022
260768,2,0.27,3/5/2022
261263,2,33.65,3/6/2022
263480,2,150.37,3/7/2022
266154,2,4.9,3/7/2022
261022,2,14.9,3/7/2022
258818,2,5.78,3/7/2022
264361,2,101.95,3/7/2022
266267,2,0.12,3/7/2022
266154,2,20.13,3/8/2022
266333,2,1.28,3/8/2022
258818,2,23.97,3/8/2022
264361,2,47.85,3/8/2022
266316,2,8.4,3/8/2022
261756,2,37.05,3/8/2022
265628,2,1.03,3/8/2022
266470,2,0.28,3/9/2022
266493,2,0.12,3/9/2022
261756,2,85.28,3/9/2022
258818,2,30.52,3/9/2022
266601,2,5.87,3/9/2022
266447,2,3.87,3/10/2022
261756,2,0.05,3/10/2022
258818,2,18.48,3/11/2022
266333,2,6.65,3/11/2022
266857,2,1.45,3/11/2022
262585,2,26.27,3/11/2022
266888,2,0.92,3/11/2022
258818,2,19.35,3/12/2022
266931,2,0.18,3/12/2022
266588,2,7.75,3/12/2022
262585,2,16.18,3/12/2022
261227,2,1.97,3/13/2022
266640,2,0.07,3/13/2022
259402,2,0.18,3/13/2022
267136,2,25.47,3/13/2022
267140,2,0.57,3/13/2022
267136,2,7.78,3/14/2022
266588,2,41.6,3/14/2022
262585,2,41.22,3/14/2022
267294,2,0.67,3/14/2022
267313,2,0.57,3/14/2022
266588,2,22.7,3/15/2022
261778,2,37.97,3/15/2022
262585,2,23.65,3/15/2022
265373,2,35.5,3/15/2022
263648,2,7.63,3/15/2022
259402,2,0.5,3/15/2022
263639,2,7.03,3/15/2022
261778,2,66.08,3/16/2022
267447,2,37.07,3/16/2022
267141,2,0.57,3/16/2022
263639,2,152.77,3/16/2022
263648,2,33.9,3/16/2022
267616,2,0.2,3/16/2022
261785,2,23.55,3/16/2022
263648,2,10.5,3/17/2022
259524,2,127.07,3/17/2022
263639,2,26.57,3/17/2022
261785,2,35.4,3/17/2022
265373,2,3.7,3/18/2022
261785,2,7.2,3/18/2022
260747,2,0.07,3/18/2022
263672,2,29.03,3/19/2022
261785,2,37.32,3/19/2022
267496,2,96.08,3/19/2022
267327,2,0.1,3/19/2022
261785,2,14.67,3/20/2022
267812,2,44.53,3/20/2022
261281,2,0.57,3/20/2022
263479,2,4.97,3/20/2022
265204,2,0.1,3/21/2022
263479,2,0.83,3/21/2022
267412,2,5.73,3/21/2022
263231,2,57.93,3/21/2022
263231,2,0.08,3/22/2022
267812,2,111.65,3/22/2022
261785,2,22.42,3/22/2022
261766,2,97.07,3/22/2022
268324,2,2.87,3/22/2022
268257,2,37.08,3/22/2022
268240,2,2.45,3/22/2022
261766,2,34.58,3/23/2022
261785,2,110.47,3/23/2022
268257,2,9.5,3/23/2022
261785,2,1.63,3/24/2022
268454,2,0.05,3/24/2022
260033,2,21.18,3/25/2022
261766,2,0.85,3/25/2022
268257,2,3.85,3/25/2022
268262,2,27.48,3/26/2022
268262,2,4.48,3/27/2022
268672,2,0.12,3/27/2022
263693,2,5.63,3/27/2022
263693,2,61.2,3/28/2022
261716,2,0.23,3/28/2022
265373,2,19.77,3/28/2022
268257,2,36.73,3/28/2022
264404,2,0.57,3/29/2022
268832,2,0.18,3/29/2022
268870,2,9,3/29/2022
266529,2,22.23,3/29/2022
266529,2,38.85,3/30/2022
268516,2,4.48,3/30/2022
267487,2,39.68,3/31/2022
269137,2,10.15,3/31/2022
267487,2,8.68,4/1/2022
258800,2,10.47,4/1/2022
269283,2,2.53,4/1/2022
262988,2,10.63,4/2/2022
267487,2,33.08,4/2/2022
269483,2,0.38,4/3/2022
262988,2,21.22,4/3/2022
269505,2,0.05,4/3/2022
268516,2,55.48,4/4/2022
262988,2,76.63,4/5/2022
268516,2,12.35,4/5/2022
268817,2,72.7,4/7/2022
270016,2,0.4,4/8/2022
269646,2,26.53,4/8/2022
270018,2,0.47,4/8/2022
