student_id,course_id,week_no,total_minutes,year_no
258798,23,0,0.28,2022
258800,2,13,10.47,2022
258800,7,0,2.73,2022
258800,7,1,180.14,2022
258800,11,8,1.58,2022
258800,14,4,4,2022
258800,14,11,2.05,2022
258800,21,1,9.42,2022
258800,21,2,85.56,2022
258800,21,3,35.83,2022
258800,21,8,6.88,2022
258800,21,19,0.72,2022
258800,25,21,44.71,2022
258800,25,22,1.47,2022
258800,28,13,2.97,2022
258800,28,26,0.25,2022
258800,30,12,0.12,2022
258800,30,13,44.22,2022
258800,33,13,0.35,2022
258800,34,13,0.38,2022
258800,37,8,89.75,2022
258800,42,13,0.57,2022
258800,45,19,6.85,2022
258803,7,0,7.62,2022
258803,14,0,117.25,2022
258803,14,1,145.64,2022
258803,14,2,57.81,2022
258803,14,5,67.07,2022
258803,14,8,6.8,2022
258803,14,15,1.58,2022
258803,16,0,20.55,2022
258803,16,1,43.3,2022
258803,16,26,6.87,2022
258803,19,30,141.23,2022
258803,45,0,3.92,2022
258804,14,0,14.18,2022
258807,7,0,1.82,2022
258809,14,0,13.27,2022
258809,14,1,39.95,2022
258810,14,0,3.23,2022
258811,20,1,5.55,2022
258811,37,0,1.65,2022
258811,37,1,31.15,2022
258811,37,2,3.53,2022
258812,42,0,2.2,2022
258813,7,0,2.1,2022
258814,25,0,4.87,2022
258814,45,4,3.85,2022
258815,23,0,28.98,2022
258816,7,0,0.58,2022
258816,23,0,0.23,2022
258817,39,0,0.38,2022
258818,2,7,6.72,2022
258818,2,8,17.98,2022
258818,2,9,19.42,2022
258818,2,10,98.1,2022
258818,2,22,12.55,2022
258818,3,19,105.37,2022
258818,4,10,28.38,2022
258818,4,11,99.09,2022
258818,4,12,43.2,2022
258818,4,13,52.6,2022
258818,7,1,12.72,2022
258818,7,14,8.65,2022
258818,13,30,16.85,2022
258818,14,1,39.85,2022
258818,14,2,114.73,2022
258818,14,3,113.5,2022
258818,14,4,94.85,2022
258818,14,5,11.4,2022
258818,14,6,64.27,2022
258818,14,7,9.85,2022
258818,14,14,1.82,2022
258818,16,1,23.4,2022
258818,19,17,34.88,2022
258818,21,1,7.95,2022
258818,21,24,4.05,2022
258818,22,12,31.45,2022
258818,23,1,62.46,2022
258818,26,10,6.33,2022
258818,26,22,39.97,2022
258818,28,6,3.6,2022
258818,28,7,30.86,2022
258818,28,33,35.36,2022
258818,28,37,26.92,2022
258818,28,38,17.8,2022
258818,35,3,41.71,2022
258818,35,12,2.58,2022
258818,35,13,37.34,2022
258818,35,14,5.78,2022
258818,35,17,2.86,2022
258818,35,23,4.78,2022
258818,39,1,0.12,2022
258819,7,0,3.6,2022
258819,22,0,2.98,2022
258822,5,1,0.37,2022
258822,7,0,0.1,2022
258822,7,1,49.55,2022
