course_id,student_id,exam_passed,exam_attempt,last_exam_attempt,course_title
7,258878,0,1,2022-01-02,"Introduction to Data and Data Science"
7,259209,1,1,2022-01-04,"Introduction to Data and Data Science"
7,259258,1,1,2022-01-05,"Introduction to Data and Data Science"
7,258955,1,1,2022-01-06,"Introduction to Data and Data Science"
46,259268,1,1,2022-01-06,"Data Literacy"
7,259447,1,1,2022-01-07,"Introduction to Data and Data Science"
7,258800,1,1,2022-01-07,"Introduction to Data and Data Science"
7,259174,1,1,2022-01-07,"Introduction to Data and Data Science"
7,259702,1,1,2022-01-08,"Introduction to Data and Data Science"
7,259482,1,1,2022-01-08,"Introduction to Data and Data Science"
7,258822,1,2,2022-01-12,"Introduction to Data and Data Science"
7,259860,1,2,2022-01-11,"Introduction to Data and Data Science"
29,259398,0,1,2022-01-10,"Product Management for AI & Data Science"
7,259664,1,1,2022-01-11,"Introduction to Data and Data Science"
7,260029,1,1,2022-01-12,"Introduction to Data and Data Science"
16,259504,1,2,2022-01-13,"Python Programmer Bootcamp"
7,260192,1,1,2022-01-13,"Introduction to Data and Data Science"
21,259258,1,1,2022-01-14,Statistics
7,260324,1,1,2022-01-14,"Introduction to Data and Data Science"
7,259959,1,1,2022-01-14,"Introduction to Data and Data Science"
7,260168,0,1,2022-01-14,"Introduction to Data and Data Science"
42,259860,1,2,2022-01-14,"Data Strategy"
20,259258,1,1,2022-01-14,"Introduction to Jupyter"
21,259283,1,2,2022-01-21,Statistics
7,260173,1,1,2022-01-15,"Introduction to Data and Data Science"
22,259504,1,2,2022-01-16,Mathematics
7,260486,1,1,2022-01-16,"Introduction to Data and Data Science"
7,259767,1,2,2022-01-18,"Introduction to Data and Data Science"
42,259106,1,2,2022-01-16,"Data Strategy"
7,260649,1,1,2022-01-16,"Introduction to Data and Data Science"
22,259258,0,1,2022-01-17,Mathematics
7,259996,1,1,2022-01-17,"Introduction to Data and Data Science"
21,260324,1,2,2022-01-17,Statistics
23,260029,1,1,2022-01-17,"Introduction to Excel"
7,259938,1,2,2022-01-18,"Introduction to Data and Data Science"
23,259777,1,1,2022-01-18,"Introduction to Excel"
35,259174,1,2,2022-07-30,"Introduction to Python"
20,259938,1,1,2022-01-19,"Introduction to Jupyter"
21,260649,1,1,2022-01-20,Statistics
7,260998,1,2,2022-01-24,"Introduction to Data and Data Science"
23,260998,1,2,2022-01-24,"Introduction to Excel"
7,260465,1,1,2022-01-21,"Introduction to Data and Data Science"
7,260754,1,1,2022-01-21,"Introduction to Data and Data Science"
24,260132,1,1,2022-01-21,Probability
35,259938,1,2,2022-01-22,"Introduction to Python"
21,260486,1,1,2022-01-22,Statistics
4,260494,1,1,2022-01-22,"Introduction to R Programming"
21,260593,1,2,2022-01-22,Statistics
23,260477,1,2,2022-01-23,"Introduction to Excel"
46,261183,1,1,2022-01-23,"Data Literacy"
7,261022,1,1,2022-01-23,"Introduction to Data and Data Science"
23,260211,1,1,2022-01-23,"Introduction to Excel"
7,261212,1,1,2022-01-23,"Introduction to Data and Data Science"
7,260291,0,1,2022-01-24,"Introduction to Data and Data Science"
