student_id,plan,date_start,date_end
258800,Annually,2022-01-01,2022-10-31
258803,Annually,2022-01-01,2022-10-31
258862,Annually,2022-01-01,2022-10-31
258865,Annually,2022-01-01,2022-10-31
258878,Annually,2022-01-01,2022-10-31
258908,Monthly,2022-01-01,2022-02-01
258913,Annually,2022-01-02,2022-01-06
258916,Annually,2022-01-02,2022-10-31
258984,Annually,2022-01-02,2022-10-31
259011,Annually,2022-01-02,2022-02-07
259039,Monthly,2022-01-02,2022-02-02
259106,Annually,2022-01-03,2022-10-31
258818,Annually,2022-01-03,2022-10-31
258955,Annually,2022-01-03,2022-10-31
259155,Monthly,2022-01-03,2022-01-31
259209,Annually,2022-01-04,2022-10-31
258922,Annually,2022-01-04,2022-10-31
259028,Monthly,2022-01-04,2022-02-04
259258,Monthly,2022-01-04,2022-02-04
259026,Monthly,2022-01-04,2022-02-04
259261,Annually,2022-01-04,2022-01-24
259273,Monthly,2022-01-04,2022-02-04
259305,Monthly,2022-01-05,2022-02-05
259268,Monthly,2022-01-05,2022-02-05
259398,Monthly,2022-01-05,2022-01-24
259408,Monthly,2022-01-05,2022-02-05
259429,Annually,2022-01-06,2022-10-31
259447,Annually,2022-01-06,2022-10-31
259534,Monthly,2022-01-06,2022-02-06
259482,Annually,2022-01-06,2022-01-14
259174,Annually,2022-01-07,2022-10-31
259614,Annually,2022-01-07,2022-10-31
259510,Monthly,2022-01-07,2022-02-07
259635,Annually,2022-01-07,2022-10-31
259684,Annually,2022-01-08,2022-10-31
259702,Monthly,2022-01-08,2022-02-08
259260,Annually,2022-01-08,2022-10-31
258980,Annually,2022-01-08,2022-10-31
259727,Annually,2022-01-08,2022-10-31
259657,Annually,2022-01-08,2022-10-31
258822,Monthly,2022-01-09,2022-02-09
259504,Monthly,2022-01-09,2022-02-09
259476,Monthly,2022-01-09,2022-02-09
259777,Monthly,2022-01-09,2022-02-09
258971,Monthly,2022-01-09,2022-02-09
259862,Annually,2022-01-09,2022-10-31
259283,Monthly,2022-01-09,2022-02-09
259865,Monthly,2022-01-10,2022-02-10
259664,Annually,2022-01-10,2022-10-31
259549,Annually,2022-01-10,2022-10-31
259731,Monthly,2022-01-10,2022-02-10
259473,Annually,2022-01-10,2022-10-31
259938,Monthly,2022-01-10,2022-02-10
259860,Monthly,2022-01-10,2022-02-10
259952,Annually,2022-01-10,2022-10-31
259953,Annually,2022-01-10,2022-10-31
259959,Annually,2022-01-10,2022-10-31
259965,Monthly,2022-01-10,2022-02-10
260029,Annually,2022-01-11,2022-10-31
259834,Annually,2022-01-11,2022-10-31
259262,Annually,2022-01-11,2022-10-31
259689,Monthly,2022-01-11,2022-02-11
259437,Annually,2022-01-11,2022-10-31
259969,Annually,2022-01-12,2022-10-31
259506,Annually,2022-01-12,2022-10-31
259973,Monthly,2022-01-11,2022-02-11
260111,Annually,2022-01-12,2022-10-31
260126,Annually,2022-01-12,2022-10-31
260132,Annually,2022-01-12,2022-10-31
259756,Annually,2022-01-12,2022-02-07
260168,Annually,2022-01-12,2022-10-31
260180,Monthly,2022-01-12,2022-02-12
260181,Annually,2022-01-12,2022-10-31
260164,Quarterly,2022-01-12,2022-04-12
260173,Quarterly,2022-01-13,2022-04-13
260217,Annually,2022-01-13,2022-10-31
259996,Monthly,2022-01-13,2022-02-13
260192,Annually,2022-01-13,2022-10-31
259464,Monthly,2022-01-13,2022-02-13
260291,Annually,2022-01-13,2022-10-31
260324,Monthly,2022-01-13,2022-02-13
260335,Annually,2022-01-14,2022-10-31
260354,Monthly,2022-01-14,2022-02-14
260265,Monthly,2022-01-14,2022-01-20
260423,Annually,2022-01-14,2022-10-31
260211,Monthly,2022-01-14,2022-02-14
260465,Monthly,2022-01-14,2022-02-14
260483,Annually,2022-01-15,2022-10-31
260494,Monthly,2022-01-15,2022-02-15
260356,Monthly,2022-01-15,2022-02-15
260549,Annually,2022-01-15,2022-10-31
260321,Annually,2022-01-15,2022-10-31
260578,Annually,2022-01-15,2022-10-31
260486,Annually,2022-01-16,2022-10-31
260616,Annually,2022-01-16,2022-10-31
260646,Monthly,2022-01-16,2022-02-16
260649,Annually,2022-01-16,2022-10-31
260707,Annually,2022-01-17,2022-10-31
260593,Annually,2022-01-17,2022-10-31
260715,Annually,2022-01-17,2022-02-07
260742,Monthly,2022-01-17,2022-02-17
260062,Annually,2022-01-17,2022-01-25
260792,Annually,2022-01-17,2022-02-07
260809,Annually,2022-01-17,2022-10-31
260815,Annually,2022-01-17,2022-10-31
260829,Annually,2022-01-18,2022-10-31
260329,Annually,2022-01-18,2022-10-31
260842,Annually,2022-01-18,2022-10-31
260033,Annually,2022-01-18,2022-10-31
260855,Annually,2022-01-18,2022-10-31
260664,Annually,2022-01-18,2022-10-31
260865,Annually,2022-01-18,2022-10-31
260885,Monthly,2022-01-18,2022-02-18
260834,Annually,2022-01-18,2022-10-31
260891,Annually,2022-01-18,2022-10-31
260909,Monthly,2022-01-18,2022-02-18
260910,Annually,2022-01-19,2022-10-31
260920,Annually,2022-01-19,2022-10-31
260913,Monthly,2022-01-19,2022-02-19
260572,Annually,2022-01-19,2022-10-31
260952,Annually,2022-01-19,2022-10-31
260898,Monthly,2022-01-19,2022-02-19
260954,Annually,2022-01-19,2022-10-31
260968,Annually,2022-01-19,2022-10-31
260971,Annually,2022-01-19,2022-10-31
260977,Annually,2022-01-19,2022-10-31
260176,Annually,2022-01-19,2022-10-31
260991,Annually,2022-01-19,2022-10-31
260988,Annually,2022-01-19,2022-10-31
260998,Annually,2022-01-20,2022-10-31
261022,Annually,2022-01-20,2022-10-31
260608,Annually,2022-01-20,2022-10-31
261039,Annually,2022-01-20,2022-10-31
260684,Annually,2022-01-20,2022-10-31
261061,Annually,2022-01-20,2022-10-31
261072,Annually,2022-01-20,2022-10-31
261073,Monthly,2022-01-20,2022-02-20
261084,Annually,2022-01-20,2022-10-31
261086,Annually,2022-01-20,2022-10-31
261110,Annually,2022-01-21,2022-10-31
260216,Annually,2022-01-21,2022-10-31
261132,Monthly,2022-01-21,2022-02-21
260754,Annually,2022-01-21,2022-10-31
259483,Annually,2022-01-21,2022-10-31
261158,Annually,2022-01-21,2022-10-31
261173,Annually,2022-01-21,2022-10-31
260813,Annually,2022-01-21,2022-10-31
261177,Annually,2022-01-21,2022-10-31
259474,Monthly,2022-01-21,2022-02-21
261183,Annually,2022-01-21,2022-10-31
260477,Annually,2022-01-16,2022-02-10
261200,Annually,2022-01-21,2022-02-07
261217,Annually,2022-01-22,2022-10-31
261212,Monthly,2022-01-22,2022-02-22
261121,Annually,2022-01-22,2022-10-31
261227,Annually,2022-01-22,2022-10-31
261228,Monthly,2022-01-22,2022-02-22
261241,Annually,2022-01-22,2022-10-31
260831,Annually,2022-01-22,2022-10-31
261263,Annually,2022-01-22,2022-10-31
261019,Annually,2022-01-22,2022-10-31
261268,Monthly,2022-01-22,2022-02-22
261210,Annually,2022-01-22,2022-10-31
261003,Annually,2022-01-22,2022-10-31
261085,Annually,2022-01-22,2022-10-31
261276,Annually,2022-01-22,2022-10-31
261288,Annually,2022-01-23,2022-10-31
261290,Annually,2022-01-23,2022-02-11
261293,Annually,2022-01-23,2022-10-31
261295,Annually,2022-01-23,2022-10-31
261359,Annually,2022-01-23,2022-10-31
261349,Annually,2022-01-23,2022-10-31
261059,Annually,2022-01-23,2022-10-31
261367,Annually,2022-01-23,2022-10-31
261374,Annually,2022-01-23,2022-10-31
261389,Annually,2022-01-24,2022-10-31
261390,Annually,2022-01-24,2022-10-31
261393,Annually,2022-01-24,2022-01-25
261412,Annually,2022-01-24,2022-10-31
261417,Annually,2022-01-24,2022-10-31
259283,Annually,2022-01-24,2022-10-31
259494,Annually,2022-01-24,2022-10-31
261446,Annually,2022-01-24,2022-10-31
261452,Annually,2022-01-24,2022-10-31
261483,Annually,2022-01-24,2022-10-31
261490,Annually,2022-01-24,2022-10-31
261495,Annually,2022-01-24,2022-10-31
259523,Annually,2022-01-25,2022-10-31
260702,Annually,2022-01-25,2022-10-31
261291,Annually,2022-01-25,2022-10-31
260850,Monthly,2022-01-25,2022-02-25
261171,Annually,2022-01-25,2022-10-31
261408,Annually,2022-01-25,2022-10-31
261538,Annually,2022-01-25,2022-10-31
261518,Monthly,2022-01-25,2022-03-01
261552,Annually,2022-01-25,2022-10-31
260916,Annually,2022-01-25,2022-10-31
261558,Annually,2022-01-25,2022-10-31
261565,Annually,2022-01-25,2022-10-31
261567,Annually,2022-01-25,2022-10-31
260345,Annually,2022-01-25,2022-10-31
261577,Annually,2022-01-25,2022-10-31
260915,Annually,2022-01-25,2022-10-31
261593,Annually,2022-01-25,2022-10-31
259171,Quarterly,2022-01-25,2022-04-25
260787,Annually,2022-01-26,2022-10-31
261391,Annually,2022-01-26,2022-02-21
261585,Monthly,2022-01-26,2022-02-26
261603,Annually,2022-01-26,2022-10-31
261607,Annually,2022-01-26,2022-10-31
261610,Annually,2022-01-26,2022-10-31
261621,Annually,2022-01-26,2022-10-31
260024,Annually,2022-01-26,2022-10-31
261550,Annually,2022-01-26,2022-10-31
261633,Annually,2022-01-26,2022-10-31
261510,Annually,2022-01-26,2022-10-31
261491,Monthly,2022-01-26,2022-02-26
259300,Annually,2022-01-26,2022-10-31
261658,Annually,2022-01-26,2022-10-31
261661,Annually,2022-01-26,2022-10-31
261662,Annually,2022-01-26,2022-10-31
261455,Monthly,2022-01-26,2022-02-26
259524,Annually,2022-01-26,2022-10-31
261674,Annually,2022-01-26,2022-10-31
261679,Annually,2022-01-26,2022-10-31
261239,Annually,2022-01-26,2022-10-31
261685,Annually,2022-01-26,2022-10-31
261690,Annually,2022-01-26,2022-10-31
261714,Annually,2022-01-27,2022-10-31
261721,Annually,2022-01-27,2022-10-31
261724,Monthly,2022-01-27,2022-02-27
